AccessionNumber,Species,Geo_location,Collection_date,Host
MH819463.1,West Nile virus,Canada,2014-08-21,Culex
MH819465.1,West Nile virus,Canada,2015-09-09,Culex
MH819466.1,West Nile virus,Canada,2016-08-16,Culex
MH819467.1,West Nile virus,Canada,2013-08-19,Culex
MH819469.1,West Nile virus,Canada,2006-08-29,Aedes vexans
MH819470.1,West Nile virus,Canada,2014-09-15,Culex
MH549209.1,West Nile virus,"Greece: Argolida, Peloponnesus",2017-07,Pica pica
MK352483.1,West Nile virus,USA: District of Columbia,2018,Psorophora
KY782105.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2012-07-18,Turdus migratorius
KY782106.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2012-07-25,Spinus tristis
KY782107.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2012-08-01,Poecile atricapillus
KY782108.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2010-08-24,Turdus migratorius
KY782109.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2005-08-03,Turdus migratorius
KY782110.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2005-08-03,Passer domesticus
KY782111.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2005-09-14,Culex
KY782112.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2005-09-15,Culex
KY782113.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2007-07-07,Culex
KY782114.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2009-08-12,Culex
KY782115.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2010-08-04,Culex
KY782116.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2010-08-12,Culex
KY782117.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2010-08-18,Culex
KY782118.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2010-08-20,Culex
KY782119.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2010-08-25,Culex
KY782120.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2010-09-01,Culex
KY782121.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2010-09-01,Culex
KY782122.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2010-09-03,Culex
KY782123.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2010-09-24,Culex
KY782124.1,West Nile virus,"USA: Illinois, West Chicago suburbs",2012-08-31,Culex
MH643887.1,West Nile virus,Brazil,2018-04-26,Equus caballus
MH507608.1,West Nile virus,"USA: Lakeside,California",2007-10-02,Corvus brachyrhynchos
MH507609.1,West Nile virus,"USA: El_Cajon,California",2007-10-02,Corvus brachyrhynchos
MH507610.1,West Nile virus,"USA: El_Cajon,California",2008-08-18,Corvus brachyrhynchos
MH507611.1,West Nile virus,"USA: La_Jolla,California",2009-05-13,Corvus brachyrhynchos
MH507612.1,West Nile virus,"USA: San_Diego,California",2012-10-29,Corvus brachyrhynchos
MH507613.1,West Nile virus,"USA: Lakeside,California",2013-07-10,Corvus brachyrhynchos
MH507614.1,West Nile virus,"USA: Carlsbad,California",2013-07-23,Corvus brachyrhynchos
MH507615.1,West Nile virus,"USA: National_City,California",2014-10-07,Corvus brachyrhynchos
MH507616.1,West Nile virus,"USA: San_Diego,California",2015-10-02,Corvus brachyrhynchos
MH507617.1,West Nile virus,"USA: Chula_Vista,California",2016-08-15,Corvus brachyrhynchos
MH507618.1,West Nile virus,"USA: Ramona,California",2008-12-08,Accipiter striatus
MH507619.1,West Nile virus,"USA: San_Diego,California",2014-10-28,Accipitridae
MH507620.1,West Nile virus,"USA: Poway,California",2016-06-30,Accipitridae
MH507621.1,West Nile virus,"USA: San_Diego,California",2014-10-31,Culex quinquefasciatus
MH507622.1,West Nile virus,"USA: San_Diego,California",2007-03-19,Corvidae
MH507623.1,West Nile virus,"USA: Oceanside,California",2007-03-19,Corvus brachyrhynchos
MH507624.1,West Nile virus,"USA: El_Cajon,California",2007-10-02,Corvus brachyrhynchos
MH507625.1,West Nile virus,"USA: Oceanside,California",2007-10-02,Corvus brachyrhynchos
MH507626.1,West Nile virus,"USA: Santee,California",2008-02-06,Corvus brachyrhynchos
MH507627.1,West Nile virus,"USA: San_Diego,California",2008-05-14,Corvus brachyrhynchos
MH507628.1,West Nile virus,"USA: San_Diego,California",2008-06-11,Corvus brachyrhynchos
MH507629.1,West Nile virus,"USA: Solana_Beach,California",2008-06-11,Corvus brachyrhynchos
MH507630.1,West Nile virus,"USA: Lemon_Grove,California",2008-06-25,Accipiter striatus
MH507631.1,West Nile virus,"USA: San_Diego,California",2008-09-15,Corvus brachyrhynchos
MH507632.1,West Nile virus,"USA: San_Diego,California",2008-06-25,Accipiter cooperii
MH507633.1,West Nile virus,"USA: Santee,California",2008-08-07,Corvus brachyrhynchos
MH507634.1,West Nile virus,"USA: Escondido,California",2008-08-07,Aphelocoma
MH507635.1,West Nile virus,"USA: Cardiff,California",2008-09-18,Corvus brachyrhynchos
MH507636.1,West Nile virus,"USA: Ramona,California",2008-09-18,Corvus brachyrhynchos
MH507637.1,West Nile virus,"USA: Valley_Center,California",2008-09-18,Corvus brachyrhynchos
MH507638.1,West Nile virus,"USA: San_Diego,California",2008-12-01,Corvus brachyrhynchos
MH507639.1,West Nile virus,"USA: Poway,California",2008-12-08,Corvus brachyrhynchos
MH507640.1,West Nile virus,"USA: Alpine,California",2008-09-15,Corvus brachyrhynchos
MH507641.1,West Nile virus,"USA: Alpine,California",2008-09-18,Corvus brachyrhynchos
MH507642.1,West Nile virus,"USA: Poway,California",2009-01-20,Buteo lineatus
MH507643.1,West Nile virus,"USA: Ramona,California",2008-12-08,Accipiter striatus
MH507644.1,West Nile virus,"USA: Fallbrook,California",2008-12-01,Accipiter striatus
MH507645.1,West Nile virus,"USA: La_Mesa,California",2009-04-08,Buteo lineatus
MH507646.1,West Nile virus,"USA: Del_Mar,California",2009-05-21,Corvus brachyrhynchos
MH507647.1,West Nile virus,"USA: El_Cajon,California",2008-12-22,Accipiter striatus
MH507648.1,West Nile virus,"USA: Valley_Center,California",2009-06-18,Corvus brachyrhynchos
MH507649.1,West Nile virus,"USA: Pine_Valley,California",2009-09-15,Corvus brachyrhynchos
MH507650.1,West Nile virus,"USA: Valley_Center,California",2009-09-30,Corvus brachyrhynchos
MH507651.1,West Nile virus,"USA: El_Cajon,California",2013-08-01,Corvus brachyrhynchos
MH507652.1,West Nile virus,"USA: Santee,California",2013-09-09,Corvus brachyrhynchos
MH507653.1,West Nile virus,"USA: San_Diego,California",2013-11-01,Corvus brachyrhynchos
MH507654.1,West Nile virus,"USA: Santee,California",2013-11-07,Corvus brachyrhynchos
MH507655.1,West Nile virus,"USA: San_Diego,California",2013-11-07,Accipitridae
MH507656.1,West Nile virus,"USA: El_Cajon,California",2014-08-06,Accipitridae
MH507657.1,West Nile virus,"USA: San_Diego,California",2014-07-17,Corvus brachyrhynchos
MH507658.1,West Nile virus,"USA: San_Diego,California",2014-08-13,Corvus brachyrhynchos
MH507659.1,West Nile virus,"USA: La_Mesa,California",2014-08-13,Corvidae
MH507660.1,West Nile virus,"USA: Lakeside,California",2014-09-25,Corvus brachyrhynchos
MH507661.1,West Nile virus,"USA: Santee,California",2014-10-03,Corvus brachyrhynchos
MH507662.1,West Nile virus,"USA: San_Diego,California",2014-10-03,Corvus brachyrhynchos
MH507663.1,West Nile virus,"USA: San_Diego,California",2014-10-28,Accipitridae
MH507664.1,West Nile virus,"USA: Chula_Vista,California",2014-11-07,Culicidae
MH507665.1,West Nile virus,"USA: Del_Mar,California",2014-11-10,Accipitridae
MH507666.1,West Nile virus,"USA: San_Diego,California",2014-11-17,Corvus brachyrhynchos
MH507667.1,West Nile virus,"USA: Ramona,California",2014-11-17,Corvus brachyrhynchos
MH507668.1,West Nile virus,"USA: San_Diego,California",2014-12-18,Corvus
MH507669.1,West Nile virus,"USA: San_Diego,California",2014-12-18,Corvus
MH507670.1,West Nile virus,"USA: San_Diego,California",2015-04-16,Corvus brachyrhynchos
MH507671.1,West Nile virus,"USA: Santee,California",2015-05-13,Corvus brachyrhynchos
MH507672.1,West Nile virus,"USA: Lemon_Grove,California",2015-07-10,Culicidae
MH507673.1,West Nile virus,"USA: Lemon_Grove,California",2015-07-10,Culicidae
MH507674.1,West Nile virus,"USA: El_Cajon,California",2015-07-28,Culicidae
MH507675.1,West Nile virus,"USA: Oceanside,California",2015-08-14,Culicidae
MH507676.1,West Nile virus,"USA: San_Marcos,California",2015-08-14,Accipiter cooperii
MH507677.1,West Nile virus,"USA: San_Diego,California",2015-08-18,Accipiter striatus
MH507678.1,West Nile virus,"USA: National_City,California",2015-08-21,Culex quinquefasciatus
MH507679.1,West Nile virus,"USA: San_Diego,California",2015-08-28,Culicidae
MH507680.1,West Nile virus,"USA: Del_Mar,California",2015-08-28,Culicidae
MH507681.1,West Nile virus,"USA: Encinitas,California",2015-08-28,Culicidae
MH507682.1,West Nile virus,"USA: Escondido,California",2015-09-29,Culicidae
MH507683.1,West Nile virus,"USA: El_Cajon,California",2015-10-02,Culicidae
MH507684.1,West Nile virus,"USA: San_Diego,California",2016-08-11,Culicidae
MH507685.1,West Nile virus,"USA: Coronado,California",2016-08-18,Culicidae
MH507686.1,West Nile virus,"USA: Descanso,California",2017-10-05,Corvus brachyrhynchos
MH507687.1,West Nile virus,"USA: Santa_Ysabel,California",2017-10-16,Aphelocoma
MH507688.1,West Nile virus,"USA: Imperial_Beach,California",2017-10-19,Corvus brachyrhynchos
MH507689.1,West Nile virus,"USA: El_Cajon,California",2017-08-28,Culicidae
MH507690.1,West Nile virus,"USA: San_Diego,California",2017-08-28,Culicidae
MH507691.1,West Nile virus,"USA: San_Diego,California",2017-10-05,Culicidae
MH507692.1,West Nile virus,"USA: Chula_Vista,California",2015-08-31,Corvus brachyrhynchos
MH507693.1,West Nile virus,"USA: Carlsbad,California",2015-08-31,Corvus brachyrhynchos
MH507694.1,West Nile virus,"USA: Encinitas,California",2015-08-31,Aphelocoma
MH507695.1,West Nile virus,"USA: Ramona,California",2015-10-02,Corvus brachyrhynchos
MH507696.1,West Nile virus,"USA: Ramona,California",2015-10-02,Corvus brachyrhynchos
MH507697.1,West Nile virus,"USA: Carlsbad,California",2015-11-10,Aphelocoma
MH507698.1,West Nile virus,"USA: San_Diego,California",2015-11-10,Corvus brachyrhynchos
MH507699.1,West Nile virus,"USA: Santee,California",2015-11-10,Corvus brachyrhynchos
MH507700.1,West Nile virus,"USA: Escondido,California",2016-01-27,Corvus brachyrhynchos
MH507701.1,West Nile virus,"USA: San_Diego,California",2016-02-03,Corvus brachyrhynchos
MH507702.1,West Nile virus,"USA: Chula_Vista,California",2016-02-18,Corvus brachyrhynchos
MH507703.1,West Nile virus,"USA: Doyle,California",2006-08-08,Turdus migratorius
MH507704.1,West Nile virus,"USA: Oroville,California",2006-08-14,Aphelocoma californica
MH507705.1,West Nile virus,"USA: Modesto,California",2006-09-13,Pica nuttalli
MH507706.1,West Nile virus,"USA: Gridley,California",2007-06-21,Aphelocoma californica
MH507707.1,West Nile virus,"USA: Modesto,California",2007-06-24,Aphelocoma californica
MH507708.1,West Nile virus,"USA: Fresno,California",2007-06-24,Aphelocoma californica
MH507709.1,West Nile virus,"USA: Redlands,California",2008-08-11,Mimus polyglottos
MH507710.1,West Nile virus,"USA: San_Andreas,California",2008-08-12,Baeolophus inornatus
MH507711.1,West Nile virus,"USA: La_Verne,California",2008-08-15,Haemorhous mexicanus
MH507712.1,West Nile virus,"USA: Antioch,California",2008-08-18,Aphelocoma californica
MH507713.1,West Nile virus,"USA: Turlock,California",2008-08-21,Aphelocoma californica
MH507714.1,West Nile virus,"USA: Agoura_Hills,California",2008-08-25,Corvus brachyrhynchos
MH507715.1,West Nile virus,"USA: Bakersfield,California",2009-06-18,Haemorhous mexicanus
MH507716.1,West Nile virus,"USA: Hanford,California",2009-06-23,Aphelocoma californica
MH507717.1,West Nile virus,"USA: Turlock,California",2009-09-04,Mimus polyglottos
MH507718.1,West Nile virus,"USA: Ceres,California",2010-07-21,Aphelocoma californica
MH507719.1,West Nile virus,"USA: Roseville,California",2010-07-29,Aphelocoma californica
MH507720.1,West Nile virus,"USA: Ceres,California",2010-07-30,Passer domesticus
MH507721.1,West Nile virus,"USA: Fresno,California",2010-08-02,Aphelocoma californica
MH507722.1,West Nile virus,"USA: Stockton,California",2011-07-11,Aphelocoma californica
MH507723.1,West Nile virus,"USA: Alta_Loma,California",2011-08-22,Pheucticus melanocephalus
MH507724.1,West Nile virus,"USA: Roseville,California",2011-09-21,Passeridae
MH507725.1,West Nile virus,"USA: Sierra_Madre,California",2012-06-06,Corvus brachyrhynchos
MH507726.1,West Nile virus,"USA: Modesto,California",2012-06-12,Aphelocoma californica
MH507727.1,West Nile virus,"USA: Riverside,California",2012-06-14,Corvus brachyrhynchos
MH507728.1,West Nile virus,"USA: Visalia,California",2012-06-21,Corvus brachyrhynchos
MH507729.1,West Nile virus,"USA: Northridge,California",2012-07-17,Corvus brachyrhynchos
MH507730.1,West Nile virus,"USA: Atwater,California",2012-07-17,Corvus brachyrhynchos
MH507731.1,West Nile virus,"USA: Visalia,California",2012-07-22,Aphelocoma californica
MH507732.1,West Nile virus,"USA: Beverly_Hills,California",2012-07-20,Corvus brachyrhynchos
MH507733.1,West Nile virus,"USA: Atwater,California",2012-08-08,Pica nuttalli
MH507734.1,West Nile virus,"USA: Loomis,California",2013-08-02,Turdus migratorius
MH507735.1,West Nile virus,"USA: Redding,California",2013-08-08,Haemorhous mexicanus
MH507736.1,West Nile virus,"USA: Paradise,California",2013-08-07,Aphelocoma californica
MH507737.1,West Nile virus,"USA: Redondo,California",2013-08-08,Aphelocoma californica
MH507738.1,West Nile virus,"USA: West_Covina,California",2013-07-31,Buteo lineatus
MH507739.1,West Nile virus,"USA: Anderson,California",2013-08-12,Haemorhous mexicanus
MH507740.1,West Nile virus,"USA: Chico,California",2013-08-20,Aphelocoma californica
MH507741.1,West Nile virus,"USA: Atwater,California",2013-08-25,Aphelocoma californica
MH507742.1,West Nile virus,"USA: Redding,California",2013-08-26,Aphelocoma californica
MH507743.1,West Nile virus,"USA: Norco,California",2017-06-17,Corvus brachyrhynchos
MH507744.1,West Nile virus,"USA: Temple_City,California",2017-06-23,Corvus brachyrhynchos
MH507745.1,West Nile virus,"USA: West_Hills,California",2017-06-23,Corvus brachyrhynchos
MH507746.1,West Nile virus,"USA: Fontana,California",2017-06-30,Aphelocoma californica
MH507747.1,West Nile virus,"USA: Corona,California",2017-07-03,Corvus brachyrhynchos
MH507748.1,West Nile virus,"USA: Norco,California",2017-07-11,Corvus brachyrhynchos
MH507749.1,West Nile virus,"USA: Thousand_Oaks,California",2017-07-13,Corvus brachyrhynchos
MH507750.1,West Nile virus,"USA: Walnut_Creek,California",2017-07-26,Corvus brachyrhynchos
MH507751.1,West Nile virus,"USA: Danville,California",2017-08-03,Corvus brachyrhynchos
MH507752.1,West Nile virus,"USA: Chico,California",2017-08-30,Pica nuttalli
MH507753.1,West Nile virus,"USA: Simi_Valley,California",2017-08-28,Corvus brachyrhynchos
MH507754.1,West Nile virus,"USA: Chico,California",2017-08-31,Pica nuttalli
MH507757.1,West Nile virus,"USA: Lakewood,California",2005-06-13,Culex quinquefasciatus
MH507758.1,West Nile virus,"USA: Long_Beach,California",2005-06-21,Culex tarsalis
MH507759.1,West Nile virus,"USA: Encino,California",2006-08-07,Culex quinquefasciatus
MH507760.1,West Nile virus,"USA: Encino,California",2006-08-05,Culex quinquefasciatus
MH507761.1,West Nile virus,"USA: Clotho,California",2007-07-20,Culex quinquefasciatus
MH507762.1,West Nile virus,"USA: Hanford,California",2007-07-20,Culex quinquefasciatus
MH507763.1,West Nile virus,"USA: Sultana,California",2008-09-09,Culex stigmatosoma
MH507764.1,West Nile virus,"USA: Denair,California",2008-09-09,Culex pipiens
MH507765.1,West Nile virus,"USA: Laton,California",2009-07-28,Culex quinquefasciatus
MH507766.1,West Nile virus,"USA: Del_Ray,California",2009-07-28,Culex quinquefasciatus
MH507767.1,West Nile virus,"USA: Winnetka,California",2011-08-11,Culex quinquefasciatus
MH507768.1,West Nile virus,"USA: Parlier,California",2010-08-12,Culex tarsalis
MH507769.1,West Nile virus,"USA: Hanford,California",2010-08-12,Culex tarsalis
MH507770.1,West Nile virus,"USA: Granada_Hills,California",2011-08-11,Culex quinquefasciatus
MH507771.1,West Nile virus,"USA: Woodville,California",2012-09-18,Culex tarsalis
MH507772.1,West Nile virus,"USA: Lemoore,California",2012-09-04,Culex pipiens
MH507773.1,West Nile virus,"USA: Mello,California",2012-08-27,Culex tarsalis
MH507774.1,West Nile virus,"USA: Harmony,California",2012-08-28,Culex tarsalis
MH507775.1,West Nile virus,"USA: Oasis,California",2012-08-23,Culex tarsalis
MH507776.1,West Nile virus,"USA: South_Whittier,California",2012-08-07,Culex quinquefasciatus
MH507777.1,West Nile virus,"USA: Van_Nuys,California",2012-08-29,Culex quinquefasciatus
MH507778.1,West Nile virus,"USA: Sanger,California",2012-08-10,Culex stigmatosoma
MH507779.1,West Nile virus,"USA: Dos_Palos,California",2012-08-14,Culex tarsalis
MH507780.1,West Nile virus,"USA: Dos_Palos,California",2012-08-14,Culex tarsalis
MH507781.1,West Nile virus,"USA: Finley,California",2013-08-21,Culex stigmatosoma
MH507782.1,West Nile virus,"USA: Butte_Valley,California",2013-08-14,Culex erythrothorax
MH507783.1,West Nile virus,"USA: San_Fernando,California",2013-09-10,Culex quinquefasciatus
MH507784.1,West Nile virus,"USA: North_Lakeport,California",2013-09-11,Culex erythrothorax
MH507785.1,West Nile virus,"USA: Lakeview,California",2013-08-28,Culex tarsalis
MH507786.1,West Nile virus,"USA: Lakeview,California",2013-08-28,Culex tarsalis
MH507787.1,West Nile virus,"USA: Yuba_City,California",2013-08-26,Culex tarsalis
MH507788.1,West Nile virus,"USA: Northridge,California",2013-08-22,Culex quinquefasciatus
MH507789.1,West Nile virus,"USA: Lake_Balboa,California",2013-08-22,Culex quinquefasciatus
MH507790.1,West Nile virus,"USA: Ontario,California",2013-08-15,Culex quinquefasciatus
MH507791.1,West Nile virus,"USA: Turlock,California",2014-06-17,Culex pipiens
MH507792.1,West Nile virus,"USA: Fresno,California",2014-06-20,Culex quinquefasciatus
MH507793.1,West Nile virus,"USA: Marysville,California",2014-06-23,Culex tarsalis
MH507794.1,West Nile virus,"USA: Notarb,California",2014-06-24,Culex tarsalis
MH507795.1,West Nile virus,"USA: Turlock,California",2014-07-03,Culex pipiens
MH507796.1,West Nile virus,"USA: Ontario,California",2014-07-08,Culex quinquefasciatus
MH507797.1,West Nile virus,"USA: Martinez,California",2014-07-07,Culex tarsalis
MH507798.1,West Nile virus,"USA: Livermore,California",2014-07-15,Culex tarsalis
MH507799.1,West Nile virus,"USA: Lancaster,California",2014-07-22,Culex tarsalis
MH507800.1,West Nile virus,"USA: Kingsburg,California",2014-07-10,Culex quinquefasciatus
MH507801.1,West Nile virus,"USA: South_Gate,California",2015-05-14,Culex quinquefasciatus
MH507802.1,West Nile virus,"USA: Riverdale,California",2015-06-09,Culex quinquefasciatus
MH507803.1,West Nile virus,"USA: Mello,California",2015-06-15,Culex tarsalis
MH507804.1,West Nile virus,"USA: Oakley,California",2015-06-15,Culex tarsalis
MH507805.1,West Nile virus,"USA: Earlimart,California",2015-07-21,Culex quinquefasciatus
MH507806.1,West Nile virus,"USA: Firebaugh,California",2015-07-14,Culex quinquefasciatus
MH507807.1,West Nile virus,"USA: Glenn,California",2015-07-21,Culex tarsalis
MH507808.1,West Nile virus,"USA: Fremont,California",2015-07-22,Culex tarsalis
MH507809.1,West Nile virus,"USA: Chico,California",2015-07-15,Culex tarsalis
MH507810.1,West Nile virus,"USA: Clearlake,California",2015-07-21,Culex tarsalis
MH507811.1,West Nile virus,"USA: Yuba_City,California",2016-07-05,Culex tarsalis
MH507812.1,West Nile virus,"USA: Pleasant_Grove,California",2016-07-05,Culex tarsalis
MH507813.1,West Nile virus,"USA: Fresno,California",2016-06-29,Culex quinquefasciatus
MH507814.1,West Nile virus,"USA: Marysville,California",2016-07-05,Culex tarsalis
MH507815.1,West Nile virus,"USA: Fresno,California",2016-07-01,Culex quinquefasciatus
MH507816.1,West Nile virus,"USA: Fresno,California",2016-07-01,Culex quinquefasciatus
MH507817.1,West Nile virus,"USA: Armona,California",2016-07-07,Culex tarsalis
MH507818.1,West Nile virus,"USA: Kerman,California",2017-07-06,Culex tarsalis
MH507819.1,West Nile virus,"USA: Dos_Palos,California",2017-07-06,Culex tarsalis
MH507820.1,West Nile virus,"USA: Pixley,California",2017-07-04,Culex quinquefasciatus
MH507821.1,West Nile virus,"USA: Lemoore,California",2017-06-30,Culex tarsalis
MH507822.1,West Nile virus,"USA: Lemoore,California",2017-06-29,Culex tarsalis
MH507823.1,West Nile virus,"USA: Rowland,California",2017-06-28,Culex quinquefasciatus
MH507824.1,West Nile virus,"USA: Bellflower,California",2017-06-29,Culex quinquefasciatus
MH507825.1,West Nile virus,"USA: Atwater,California",2017-08-02,Culex pipiens
MH507826.1,West Nile virus,"USA: Turlock,California",2017-08-03,Culex pipiens
MH507827.1,West Nile virus,"USA: Bakersfield,California",2006-07-13,Turdus migratorius
MH507828.1,West Nile virus,"USA: Bakersfield,California",2006-07-21,Aphelocoma californica
MH507829.1,West Nile virus,"USA: Bakersfield,California",2006-07-31,Aphelocoma californica
MH507830.1,West Nile virus,"USA: Bakersfield,California",2006-08-01,Aphelocoma californica
MH507831.1,West Nile virus,"USA: Bakersfield,California",2006-08-02,Aphelocoma californica
MH507832.1,West Nile virus,"USA: Bakersfield,California",2006-08-03,Corvus
MH507833.1,West Nile virus,"USA: Bakersfield,California",2006-08-09,Aphelocoma californica
MH507834.1,West Nile virus,"USA: Bakersfield,California",2006-08-14,Passer domesticus
MH507835.1,West Nile virus,"USA: Bakersfield,California",2006-08-15,Aphelocoma californica
MH507836.1,West Nile virus,"USA: Bakersfield,California",2006-08-17,Haemorhous mexicanus
MH507837.1,West Nile virus,"USA: Bakersfield,California",2006-08-30,Aphelocoma californica
MH507838.1,West Nile virus,"USA: Bakersfield,California",2007-06-07,Aphelocoma californica
MH507839.1,West Nile virus,"USA: Bakersfield,California",2007-06-13,Aphelocoma californica
MH507840.1,West Nile virus,"USA: Bakersfield,California",2007-06-14,Aphelocoma californica
MH507841.1,West Nile virus,"USA: Bakersfield,California",2007-06-20,Aphelocoma californica
MH507842.1,West Nile virus,"USA: Bakersfield,California",2007-06-22,Aphelocoma californica
MH507843.1,West Nile virus,"USA: Bakersfield,California",2007-06-25,Aphelocoma californica
MH507844.1,West Nile virus,"USA: Bakersfield,California",2007-06-25,Aphelocoma californica
MH507845.1,West Nile virus,"USA: Bakersfield,California",2007-06-29,Aphelocoma californica
MH507846.1,West Nile virus,"USA: Bakersfield,California",2007-06-29,Aphelocoma californica
MH507847.1,West Nile virus,"USA: Bakersfield,California",2007-07-05,Aphelocoma californica
MH507848.1,West Nile virus,"USA: Bakersfield,California",2007-07-09,Aphelocoma californica
MH507849.1,West Nile virus,"USA: Bakersfield,California",2007-07-09,Aphelocoma californica
MH507850.1,West Nile virus,"USA: Bakersfield,California",2007-07-09,Aphelocoma californica
MH507851.1,West Nile virus,"USA: Bakersfield,California",2007-07-12,Aphelocoma californica
MH507852.1,West Nile virus,"USA: Bakersfield,California",2007-07-13,Aphelocoma californica
MH507853.1,West Nile virus,"USA: Bakersfield,California",2008-06-27,Calypte costae
MH507854.1,West Nile virus,"USA: Bakersfield,California",2008-03-13,Zenaida macroura
MH507855.1,West Nile virus,"USA: Bakersfield,California",2008-07-23,Turdus migratorius
MH507856.1,West Nile virus,"USA: Bakersfield,California",2008-09-24,Passer domesticus
MH507857.1,West Nile virus,"USA: Bakersfield,California",2009-06-14,Haemorhous mexicanus
MH507858.1,West Nile virus,"USA: Bakersfield,California",2009-06-08,Aphelocoma californica
MH507859.1,West Nile virus,"USA: Bakersfield,California",2009-06-16,Passeridae
MH507860.1,West Nile virus,"USA: Bakersfield,California",2009-06-15,Aphelocoma californica
MH507861.1,West Nile virus,"USA: Bakersfield,California",2009-06-24,Passer domesticus
MH507862.1,West Nile virus,"USA: Shafter,California",2009-07-07,Parulidae
MH507863.1,West Nile virus,"USA: Bakersfield,California",2009-07-13,Passer domesticus
MH507864.1,West Nile virus,"USA: Bakersfield,California",2009-07-23,Turdus migratorius
MH507865.1,West Nile virus,"USA: Bakersfield,California",2010-07-06,Passer domesticus
MH507866.1,West Nile virus,"USA: Bakersfield,California",2010-07-12,Aphelocoma californica
MH507867.1,West Nile virus,"USA: Bakersfield,California",2010-07-19,Aphelocoma californica
MH507868.1,West Nile virus,"USA: Bakersfield,California",2010-07-22,Aves
MH507869.1,West Nile virus,"USA: Bakersfield,California",2010-07-22,Passer domesticus
MH507870.1,West Nile virus,"USA: Bakersfield,California",2010-07-23,Haemorhous mexicanus
MH507871.1,West Nile virus,"USA: Bakersfield,California",2010-07-26,Passer domesticus
MH507872.1,West Nile virus,"USA: Bakersfield,California",2010-07-26,Aphelocoma californica
MH507873.1,West Nile virus,"USA: Bakersfield,California",2010-07-28,Aphelocoma californica
MH507874.1,West Nile virus,"USA: Bakersfield,California",2011-06-17,Passer domesticus
MH507875.1,West Nile virus,"USA: Bakersfield,California",2011-06-17,Passer domesticus
MH507876.1,West Nile virus,"USA: Bakersfield,California",2011-08-05,Aphelocoma californica
MH507877.1,West Nile virus,"USA: Bakersfield,California",2011-08-08,Aphelocoma californica
MH507878.1,West Nile virus,"USA: Bakersfield,California",2011-08-08,Aphelocoma californica
MH507879.1,West Nile virus,"USA: Bakersfield,California",2011-11-17,Passer domesticus
MH507880.1,West Nile virus,"USA: Bakersfield,California",2012-06-08,Aphelocoma californica
MH507881.1,West Nile virus,"USA: Bakersfield,California",2012-06-10,Euphagus cyanocephalus
MH507882.1,West Nile virus,"USA: Bakersfield,California",2012-06-13,Falco sparverius
MH507883.1,West Nile virus,"USA: Bakersfield,California",2012-06-18,Aphelocoma californica
MH507884.1,West Nile virus,"USA: Bakersfield,California",2012-06-24,Corvus brachyrhynchos
MH507885.1,West Nile virus,"USA: Bakersfield,California",2012-07-09,Haemorhous mexicanus
MH507886.1,West Nile virus,"USA: Bakersfield,California",2012-07-10,Corvus brachyrhynchos
MH507887.1,West Nile virus,"USA: Bakersfield,California",2013-06-10,Aphelocoma californica
MH507888.1,West Nile virus,"USA: Bakersfield,California",2013-07-08,Aphelocoma californica
MH507889.1,West Nile virus,"USA: Bakersfield,California",2017-07-04,Corvus brachyrhynchos
MH507890.1,West Nile virus,"USA: Bakersfield,California",2017-07-07,Corvus brachyrhynchos
MH507905.1,West Nile virus,"USA: Bakersfield,California",2005-06-21,Culex tarsalis
MH507906.1,West Nile virus,"USA: Bakersfield,California",2005-07-01,Culex quinquefasciatus
MH507907.1,West Nile virus,"USA: Bakersfield,California",2005-07-01,Culex quinquefasciatus
MH507908.1,West Nile virus,"USA: Bakersfield,California",2005-07-01,Culex quinquefasciatus
MH507909.1,West Nile virus,"USA: Bakersfield,California",2005-07-06,Culex tarsalis
MH507910.1,West Nile virus,"USA: Bakersfield,California",2005-07-06,Culex tarsalis
MH507911.1,West Nile virus,"USA: Shafter,California",2005-07-07,Culex quinquefasciatus
MH507912.1,West Nile virus,"USA: Bakersfield,California",2005-07-14,Culex quinquefasciatus
MH507913.1,West Nile virus,"USA: Bakersfield,California",2005-07-14,Culex quinquefasciatus
MH507914.1,West Nile virus,"USA: Bakersfield,California",2005-07-14,Culex quinquefasciatus
MH507915.1,West Nile virus,"USA: Bakersfield,California",2005-07-19,Culex tarsalis
MH507916.1,West Nile virus,"USA: Bakersfield,California",2006-07-11,Culex tarsalis
